Temps;EA0;Temps;EA1;Temps;I
0;-0.0391727834939957;0;5.54947337508202;0;0.424062975992759
1E-6;-0.0639661550521851;1E-6;5.51472400873899;1E-6;0.427377264946699
2E-6;-0.0887595266103745;2E-6;5.47997464239597;2E-6;0.44726299867034
3E-6;-0.113552898168564;3E-6;5.44522527605295;3E-6;0.44560585419337
4E-6;-0.138346269726753;4E-6;5.40551171451807;4E-6;0.440634420762459
5E-6;-0.158180966973305;5E-6;5.37572654336691;5E-6;0.44726299867034
6E-6;-0.187933012843132;6E-6;5.33601298183203;6E-6;0.44560585419337
7E-6;-0.207767710089684;7E-6;5.30126361548901;7E-6;0.440634420762459
8E-6;-0.232561081647873;8E-6;5.26651424914598;8E-6;0.432348698377609
9E-6;-0.252395778894424;9E-6;5.2268006876111;9E-6;0.425720120469729
1E-5;-0.277189150452614;1E-5;5.19205132126808;1E-5;0.415777253607909
1.1E-5;-0.292065173387527;1.1E-5;5.1523377597332;1.1E-5;0.400862953315179
1.2E-5;-0.311899870634079;1.2E-5;5.12255258858204;1.2E-5;0.420748687038819
1.3E-5;-0.33173456788063;1.3E-5;5.08780322223902;1.3E-5;0.417434398084879
1.4E-5;-0.35652793943882;1.4E-5;5.04808966070414;1.4E-5;0.415777253607909
1.5E-5;-0.381321310997009;1.5E-5;4.99844770878553;1.5E-5;0.420748687038819
1.6E-5;-0.406114682555199;1.6E-5;4.95376995205879;1.6E-5;0.414120109130939
1.7E-5;-0.435866728425026;1.7E-5;4.90909219533205;1.7E-5;0.425720120469729
1.8E-5;-0.45074275135994;1.8E-5;4.86937863379717;1.8E-5;0.430691553900639
1.9E-5;-0.470577448606491;1.9E-5;4.82966507226229;1.9E-5;0.424062975992759
2E-5;-0.49537082016468;2E-5;4.78498731553555;2E-5;0.419091542561849
2.1E-5;-0.52016419172287;2.1E-5;4.7403095588088;2.1E-5;0.399205808838208
2.2E-5;-0.535040214657784;2.2E-5;4.69563180208206;2.2E-5;0.409148675700029
2.3E-5;-0.554874911904335;2.3E-5;4.65591824054718;2.3E-5;0.400862953315179
2.4E-5;-0.579668283462524;2.4E-5;4.61124048382044;2.4E-5;0.385948653022448
2.5E-5;-0.5895856320858;2.5E-5;4.57152692228556;2.5E-5;0.384291508545478
2.6E-5;-0.609420329332352;2.6E-5;4.53181336075068;2.6E-5;0.389262941976388
2.7E-5;-0.624296352267265;2.7E-5;4.49706399440765;2.7E-5;0.392577230930328
2.8E-5;-0.649089723825455;2.8E-5;4.44742204248905;2.8E-5;0.392577230930328
2.9E-5;-0.673883095383644;2.9E-5;4.38785170018673;2.9E-5;0.389262941976388
3E-5;-0.698676466941833;3E-5;4.33820974826813;3E-5;0.399205808838208
3.1E-5;-0.713552489876747;3.1E-5;4.29353199154139;3.1E-5;0.382634364068508
3.2E-5;-0.733387187123299;3.2E-5;4.24389003962278;3.2E-5;0.392577230930328
3.3E-5;-0.75322188436985;3.3E-5;4.2041764780879;3.3E-5;0.382634364068508
3.4E-5;-0.768097907304764;3.4E-5;4.14957033097744;3.4E-5;0.377662930637598
3.5E-5;-0.77801525592804;3.5E-5;4.11482096463442;3.5E-5;0.366062919298808
3.6E-5;-0.802808627486229;3.6E-5;4.06517901271582;3.6E-5;0.354462907960018
3.7E-5;-0.82264332473278;3.7E-5;4.01553706079721;3.7E-5;0.342862896621227
3.8E-5;-0.832560673356056;3.8E-5;3.97085930407047;3.8E-5;0.347834330052137
3.9E-5;-0.842478021979332;3.9E-5;3.93114574253559;3.9E-5;0.344520041098197
4E-5;-0.857354044914246;4E-5;3.88646798580885;4E-5;0.347834330052137
4.1E-5;-0.887106090784073;4.1E-5;3.82689764350653;4.1E-5;0.341205752144257
4.2E-5;-0.901982113718987;4.2E-5;3.77725569158792;4.2E-5;0.357777196913958
4.3E-5;-0.9168581366539;4.3E-5;3.72761373966932;4.3E-5;0.351148619006077
4.4E-5;-0.931734159588814;4.4E-5;3.67797178775072;4.4E-5;0.349491474529107
4.5E-5;-0.946610182523727;4.5E-5;3.63329403102398;4.5E-5;0.347834330052137
4.6E-5;-0.956527531147003;4.6E-5;3.58365207910538;4.6E-5;0.334577174236377
4.7E-5;-0.971403554081917;4.7E-5;3.5439385175705;4.7E-5;0.326291451851527
4.8E-5;-0.98627957701683;4.8E-5;3.48933237046003;4.8E-5;0.318005729466677
4.9E-5;-1.00115559995174;4.9E-5;3.43472622334957;4.9E-5;0.304748573650916
5E-5;-1.00611427426338;5E-5;3.39997685700655;5E-5;0.293148562312126
5.1E-5;-1.01603162288666;5.1E-5;3.35529910027981;5.1E-5;0.283205695450306
5.2E-5;-1.03090764582157;5.2E-5;3.30565714836121;5.2E-5;0.296462851266066
5.3E-5;-1.04082499444485;5.3E-5;3.26594358682632;5.3E-5;0.296462851266066
5.4E-5;-1.05570101737976;5.4E-5;3.206373244524;5.4E-5;0.293148562312126
5.5E-5;-1.07057704031467;5.5E-5;3.1567312926054;5.5E-5;0.279891406496366
5.6E-5;-1.08545306324959;5.6E-5;3.1070893406868;5.6E-5;0.298119995743036
5.7E-5;-1.09041173756123;5.7E-5;3.06241158396006;5.7E-5;0.293148562312126
5.8E-5;-1.1003290861845;5.8E-5;3.02269802242517;5.8E-5;0.288177128881216
5.9E-5;-1.10528776049614;5.9E-5;2.97802026569843;5.9E-5;0.278234262019396
6E-5;-1.12512245774269;6E-5;2.92341411858797;6E-5;0.271605684111516
6.1E-5;-1.13008113205433;6.1E-5;2.87873636186123;6.1E-5;0.253377094864845
6.2E-5;-1.13008113205433;6.2E-5;2.83902280032635;6.2E-5;0.240119939049085
6.3E-5;-1.1399984806776;6.3E-5;2.79434504359961;6.3E-5;0.235148505618175
6.4E-5;-1.1399984806776;6.4E-5;2.75959567725658;6.4E-5;0.236805650095145
6.5E-5;-1.14495715498924;6.5E-5;2.7198821157217;6.5E-5;0.230177072187265
6.6E-5;-1.14991582930088;6.6E-5;2.67520435899496;6.6E-5;0.233491361141205
6.7E-5;-1.16479185223579;6.7E-5;2.6205982118845;6.7E-5;0.235148505618175
6.8E-5;-1.16975052654743;6.8E-5;2.57592045515776;6.8E-5;0.238462794572115
6.9E-5;-1.17470920085907;6.9E-5;2.53620689362288;6.9E-5;0.233491361141205
7E-5;-1.17966787517071;7E-5;2.49152913689613;7E-5;0.231834216664235
7.1E-5;-1.18462654948235;7.1E-5;2.44685138016939;7.1E-5;0.218577060848475
7.2E-5;-1.18958522379398;7.2E-5;2.40713781863451;7.2E-5;0.215262771894534
7.3E-5;-1.19454389810562;7.3E-5;2.36742425709963;7.3E-5;0.197034182647864
7.4E-5;-1.18958522379398;7.4E-5;2.33267489075661;7.4E-5;0.188748460263014
7.5E-5;-1.19454389810562;7.5E-5;2.28799713402987;7.5E-5;0.168862726539373
7.6E-5;-1.19454389810562;7.6E-5;2.25324776768684;7.6E-5;0.167205582062403
7.7E-5;-1.18958522379398;7.7E-5;2.22842679172754;7.7E-5;0.168862726539373
7.8E-5;-1.18958522379398;7.8E-5;2.18871323019266;7.8E-5;0.173834159970284
7.9E-5;-1.18958522379398;7.9E-5;2.15396386384964;7.9E-5;0.170519871016343
8E-5;-1.19950257241726;8E-5;2.09935771673918;8E-5;0.172177015493313
8.1E-5;-1.19950257241726;8.1E-5;2.06460835039616;8.1E-5;0.175491304447254
8.2E-5;-1.19454389810562;8.2E-5;2.02985898405313;8.2E-5;0.173834159970284
8.3E-5;-1.19454389810562;8.3E-5;1.99510961771011;8.3E-5;0.162234148631493
8.4E-5;-1.19454389810562;8.4E-5;1.96036025136709;8.4E-5;0.155605570723613
8.5E-5;-1.18958522379398;8.5E-5;1.93057508021593;8.5E-5;0.145662703861793
8.6E-5;-1.18462654948235;8.6E-5;1.90078990906477;8.6E-5;0.135719836999973
8.7E-5;-1.18462654948235;8.7E-5;1.86107634752989;8.7E-5;0.115834103276332
8.8E-5;-1.17966787517071;8.8E-5;1.83625537157059;8.8E-5;0.109205525368452
8.9E-5;-1.16479185223579;8.9E-5;1.81143439561129;8.9E-5;0.110862669845422
9E-5;-1.15983317792416;9E-5;1.78661341965199;9E-5;0.0992626585066319
9.1E-5;-1.14991582930088;9.1E-5;1.76179244369268;9.1E-5;0.0976055140296618
9.2E-5;-1.14991582930088;9.2E-5;1.72704307734966;9.2E-5;0.0976055140296618
9.3E-5;-1.15487450361252;9.3E-5;1.68732951581478;9.3E-5;0.109205525368452
9.4E-5;-1.14495715498924;9.4E-5;1.66747273504734;9.4E-5;0.0976055140296618
9.5E-5;-1.13503980636597;9.5E-5;1.64265175908804;9.5E-5;0.104234091937542
9.6E-5;-1.13008113205433;9.6E-5;1.61286658793688;9.6E-5;0.100919802983602
9.7E-5;-1.12016378343105;9.7E-5;1.58308141678572;9.7E-5;0.0926340805987517
9.8E-5;-1.11024643480778;9.8E-5;1.55826044082642;9.8E-5;0.0777197803060214
9.9E-5;-1.10528776049614;9.9E-5;1.51854687929153;9.9E-5;0.0727483468751113
0.0001;-1.09537041187286;0.0001;1.48876170814037;0.0001;0.0561769021054109
0.000101;-1.08545306324959;0.000101;1.46890492737293;0.000101;0.0578340465823809
0.000102;-1.06561836600304;0.000102;1.43911975622177;0.000102;0.0495483241975307
0.000103;-1.0606596916914;0.000103;1.41429878026247;0.000103;0.0445768907666206
0.000104;-1.04082499444485;0.000104;1.38451360911131;0.000104;0.0478911797205607
0.000105;-1.03586632013321;0.000105;1.34976424276829;0.000105;0.0429197462896506
0.000106;-1.03090764582157;0.000106;1.31501487642527;0.000106;0.0495483241975307
0.000107;-1.01603162288666;0.000107;1.28026551008224;0.000107;0.0462340352435907
0.000108;-1.00611427426338;0.000108;1.25544453412294;0.000108;0.0445768907666206
0.000109;-0.996196925640106;0.000109;1.22069516777992;0.000109;0.0346340239048004
0.00011;-0.981320902705193;0.00011;1.19090999662876;0.00011;0.0263483015199502
0.000111;-0.966444879770279;0.000111;1.16608902066946;0.000111;0.0346340239048004
0.000112;-0.951568856835365;0.000112;1.14126804471016;0.000112;0.01474829018116
0.000113;-0.946610182523727;0.000113;1.10155448317528;0.000113;-0.000166010111570358
0.000114;-0.926775485277176;0.000114;1.08169770240784;0.000114;-0.00348029906551043
0.000115;-0.906940788030624;0.000115;1.05191253125668;0.000115;-0.0101088769733906
0.000116;-0.887106090784073;0.000116;1.0370199456811;0.000116;-0.00513744354248047
0.000117;-0.872230067849159;0.000117;1.01219896972179;0.000117;-0.00845173249642054
0.000118;-0.867271393537521;0.000118;0.972485408186913;0.000118;-0.00348029906551043
0.000119;-0.857354044914246;0.000119;0.937736041843891;0.000119;0.00149113436539968
0.00012;-0.837519347667694;0.00012;0.91291506588459;0.00012;-0.0134231659273307
0.000121;-0.817684650421143;0.000121;0.893058285117149;0.000121;-0.0018231545885404
0.000122;-0.812725976109505;0.000122;0.858308918774128;0.000122;-0.00679458801945051
0.000123;-0.792891278862953;0.000123;0.833487942814827;0.000123;-0.0183945993582408
0.000124;-0.773056581616402;0.000124;0.813631162047386;0.000124;-0.0217088883121808
0.000125;-0.75322188436985;0.000125;0.788810186088085;0.000125;-0.0316517551740011
0.000126;-0.738345861434937;0.000126;0.763989210128784;0.000126;-0.0449089109897614
0.000127;-0.718511164188385;0.000127;0.749096624553204;0.000127;-0.0482231999437014
0.000128;-0.698676466941833;0.000128;0.729239843785763;0.000128;-0.0515374888976415
0.000129;-0.673883095383644;0.000129;0.714347258210182;0.000129;-0.0482231999437014
0.00013;-0.663965746760368;0.00013;0.689526282250881;0.00013;-0.0614803557594617
0.000131;-0.649089723825455;0.000131;0.66470530629158;0.000131;-0.0415946220358213
0.000132;-0.634213700890541;0.000132;0.634920135140419;0.000132;-0.0399374775588512
0.000133;-0.61437900364399;0.000133;0.620027549564838;0.000133;-0.0465660554667314
0.000134;-0.599502980709076;0.000134;0.600170768797398;0.000134;-0.0465660554667314
0.000135;-0.584626957774162;0.000135;0.575349792838097;0.000135;-0.0482231999437014
0.000136;-0.564792260527611;0.000136;0.555493012070656;0.000136;-0.0449089109897614
0.000137;-0.539998888969421;0.000137;0.545564621686935;0.000137;-0.0581660668055216
0.000138;-0.52016419172287;0.000138;0.530672036111355;0.000138;-0.0681089336673419
0.000139;-0.510246843099594;0.000139;0.505851060152054;0.000139;-0.074737511575222
0.00014;-0.480494797229767;0.00014;0.500886864960194;0.00014;-0.0896518118679523
0.000141;-0.460660099983215;0.000141;0.485994279384613;0.000141;-0.0830232339600722
0.000142;-0.440825402736664;0.000142;0.476065889000893;0.000142;-0.0813660894831022
0.000143;-0.42594937980175;0.000143;0.461173303425312;0.000143;-0.0797089450061321
0.000144;-0.406114682555199;0.000144;0.441316522657871;0.000144;-0.0714232226212819
0.000145;-0.386279985308647;0.000145;0.431388132274151;0.000145;-0.074737511575222
0.000146;-0.371403962373734;0.000146;0.41649554669857;0.000146;-0.0697660781443119
0.000147;-0.351569265127182;0.000147;0.41153135150671;0.000147;-0.0647946447134018
0.000148;-0.336693242192268;0.000148;0.396638765931129;0.000148;-0.0681089336673419
0.000149;-0.321817219257355;0.000149;0.386710375547409;0.000149;-0.073080367098252
0.00015;-0.297023847699165;0.00015;0.381746180355549;0.00015;-0.0863375229140123
0.000151;-0.277189150452614;0.000151;0.376781985163689;0.000151;-0.0913089563449224
0.000152;-0.267271801829338;0.000152;0.361889399588108;0.000152;-0.0995946787297726
0.000153;-0.237519755959511;0.000153;0.366853594779968;0.000153;-0.114508979022503
0.000154;-0.217685058712959;0.000154;0.366853594779968;0.000154;-0.109537545591593
0.000155;-0.19289168715477;0.000155;0.366853594779968;0.000155;-0.0962803897758325
0.000156;-0.173056989908218;0.000156;0.366853594779968;0.000156;-0.0979375342528025
0.000157;-0.163139641284943;0.000157;0.356925204396248;0.000157;-0.0863375229140123
0.000158;-0.148263618350029;0.000158;0.351961009204388;0.000158;-0.0797089450061321
0.000159;-0.133387595415115;0.000159;0.346996814012527;0.000159;-0.0813660894831022
0.00016;-0.113552898168564;0.00016;0.351961009204388;0.00016;-0.0813660894831022
0.000161;-0.0937182009220123;0.000161;0.356925204396248;0.000161;-0.074737511575222
0.000162;-0.0738835036754608;0.000162;0.361889399588108;0.000162;-0.0830232339600722
0.000163;-0.0540488064289093;0.000163;0.366853594779968;0.000163;-0.0913089563449224
0.000164;-0.0342141091823578;0.000164;0.371817789971828;0.000164;-0.106223256637653
