Temps;EA0;Temps;EA1;Temps;I
0;-0.297023847699165;0;-1.9563897550106;0;0.100919802983602
1E-6;-0.321817219257355;1E-6;-2.00603170692921;1E-6;0.0942912250757217
2E-6;-0.336693242192268;2E-6;-2.04574526846409;2E-6;0.0893197916448116
3E-6;-0.351569265127182;3E-6;-2.08545882999897;3E-6;0.0992626585066319
4E-6;-0.366445288062096;4E-6;-2.12517239153385;4E-6;0.0976055140296618
5E-6;-0.391238659620285;5E-6;-2.17481434345245;5E-6;0.104234091937542
6E-6;-0.416032031178474;6E-6;-2.22942049056292;6E-6;0.104234091937542
7E-6;-0.435866728425026;7E-6;-2.27906244248152;7E-6;0.110862669845422
8E-6;-0.455701425671577;8E-6;-2.32870439440012;8E-6;0.104234091937542
9E-6;-0.470577448606491;9E-6;-2.37338215112686;9E-6;0.107548380891482
1E-5;-0.49537082016468;1E-5;-2.42302410304546;1E-5;0.0992626585066319
1.1E-5;-0.515205517411232;1.1E-5;-2.46770185977221;1.1E-5;0.0976055140296618
1.2E-5;-0.530081540346146;1.2E-5;-2.51237961649895;1.2E-5;0.0860055026908716
1.3E-5;-0.554874911904335;1.3E-5;-2.56202156841755;1.3E-5;0.0810340692599614
1.4E-5;-0.569750934839249;1.4E-5;-2.61166352033615;1.4E-5;0.0727483468751113
1.5E-5;-0.594544306397438;1.5E-5;-2.66626966744661;1.5E-5;0.0694340579211712
1.6E-5;-0.594544306397438;1.6E-5;-2.69605483859777;1.6E-5;0.0545197576284409
1.7E-5;-0.61437900364399;1.7E-5;-2.74569679051638;1.7E-5;0.0677769134442012
1.8E-5;-0.629255026578903;1.8E-5;-2.79037454724312;1.8E-5;0.0777197803060214
1.9E-5;-0.654048398137093;1.9E-5;-2.84001649916172;1.9E-5;0.0760626358290513
2E-5;-0.673883095383644;2E-5;-2.89462264627218;2E-5;0.0694340579211712
2.1E-5;-0.688759118318558;2.1E-5;-2.94922879338264;2.1E-5;0.0744054913520813
2.2E-5;-0.708593815565109;2.2E-5;-2.99390655010939;2.2E-5;0.0760626358290513
2.3E-5;-0.718511164188385;2.3E-5;-3.03858430683613;2.3E-5;0.0677769134442012
2.4E-5;-0.743304535746574;2.4E-5;-3.09815464913845;2.4E-5;0.061148335536321
2.5E-5;-0.758180558681488;2.5E-5;-3.13786821067333;2.5E-5;0.059491191059351
2.6E-5;-0.773056581616402;2.6E-5;-3.19247435778379;2.6E-5;0.0445768907666206
2.7E-5;-0.782973930239677;2.7E-5;-3.23715211451054;2.7E-5;0.0362911683817705
2.8E-5;-0.797849953174591;2.8E-5;-3.28182987123728;2.8E-5;0.0246911570429802
2.9E-5;-0.807767301797867;2.9E-5;-3.32650762796402;2.9E-5;0.0296625904738903
3E-5;-0.82264332473278;3E-5;-3.37614957988262;3E-5;0.0263483015199502
3.1E-5;-0.837519347667694;3.1E-5;-3.42579153180122;3.1E-5;0.0296625904738903
3.2E-5;-0.857354044914246;3.2E-5;-3.47543348371983;3.2E-5;0.0313197349508603
3.3E-5;-0.877188742160797;3.3E-5;-3.53500382602215;3.3E-5;0.0346340239048004
3.4E-5;-0.882147416472435;3.4E-5;-3.57968158274889;3.4E-5;0.0346340239048004
3.5E-5;-0.897023439407349;3.5E-5;-3.62435933947563;3.5E-5;0.0329768794278304
3.6E-5;-0.911899462342262;3.6E-5;-3.67896548658609;3.6E-5;0.0296625904738903
3.7E-5;-0.931734159588814;3.7E-5;-3.73357163369656;3.7E-5;0.01640543465813
3.8E-5;-0.94165150821209;3.8E-5;-3.7782493904233;3.8E-5;0.00480542331933975
3.9E-5;-0.951568856835365;3.9E-5;-3.82292714715004;3.9E-5;-0.00513744354248047
4E-5;-0.961486205458641;4E-5;-3.87256909906864;4E-5;-0.0183945993582408
4.1E-5;-0.966444879770279;4.1E-5;-3.91724685579538;4.1E-5;-0.0183945993582408
4.2E-5;-0.971403554081917;4.2E-5;-3.95696041733027;4.2E-5;-0.0250231772661209
4.3E-5;-0.98627957701683;4.3E-5;-4.01156656444073;4.3E-5;-0.0233660327891509
4.4E-5;-1.00115559995174;4.4E-5;-4.05624432116747;4.4E-5;-0.0134231659273307
4.5E-5;-1.01603162288666;4.5E-5;-4.11085046827793;4.5E-5;-0.0167374548812707
4.6E-5;-1.02594897150993;4.6E-5;-4.15552822500467;4.6E-5;-0.0150803104043007
4.7E-5;-1.03586632013321;4.7E-5;-4.20517017692327;4.7E-5;-0.0150803104043007
4.8E-5;-1.04578366875648;4.8E-5;-4.25481212884188;4.8E-5;-0.0217088883121808
4.9E-5;-1.05074234306812;4.9E-5;-4.29452569037676;4.9E-5;-0.0266803217430909
5E-5;-1.0606596916914;5E-5;-4.34416764229536;5E-5;-0.0399374775588512
5.1E-5;-1.06561836600304;5.1E-5;-4.3888453990221;5.1E-5;-0.0482231999437014
5.2E-5;-1.07057704031467;5.2E-5;-4.43352315574884;5.2E-5;-0.0614803557594617
5.3E-5;-1.08049438893795;5.3E-5;-4.47820091247559;5.3E-5;-0.073080367098252
5.4E-5;-1.08049438893795;5.4E-5;-4.51295027881861;5.4E-5;-0.0780518005291621
5.5E-5;-1.08049438893795;5.5E-5;-4.54769964516163;5.5E-5;-0.0797089450061321
