Temps;EA0;Temps;EA1;Temps;I
0;1.13107435405254;0;-2.21452790498734;0;-0.208850007131696
2E-6;1.13107435405254;2E-6;-2.14006497710943;2E-6;-0.199404283612967
4E-6;1.13603302836418;4E-6;-2.06063785403967;4E-6;-0.179021406546235
6E-6;1.13603302836418;6E-6;-1.99113912135363;6E-6;-0.165598536282778
8E-6;1.12115700542927;8E-6;-1.94149716943502;8E-6;-0.151678522676229
1E-5;1.11619833111763;1E-5;-1.87199843674898;1E-5;-0.143227085843682
1.2E-5;1.10628098249435;1.2E-5;-1.81739228963852;1.2E-5;-0.126324212178588
1.4E-5;1.09636363387108;1.4E-5;-1.7578219473362;1.4E-5;-0.116878488659859
1.6E-5;1.09636363387108;1.6E-5;-1.68832321465015;1.6E-5;-0.104449905082583
1.8E-5;1.0864462852478;1.8E-5;-1.63868126273155;1.8E-5;-0.0915241781622171
2E-5;1.06165291368961;2E-5;-1.60393189638853;2E-5;-0.0785984512418509
2.2E-5;1.04181821644306;2.2E-5;-1.55925413966179;2.2E-5;-0.0661698676645756
2.4E-5;1.02694219350815;2.4E-5;-1.51457638293505;2.4E-5;-0.0552327141165733
2.6E-5;1.0071074962616;2.6E-5;-1.46989862620831;2.6E-5;-0.041809843853116
2.8E-5;0.992231473326683;2.8E-5;-1.41529247909784;2.8E-5;-0.0343526937067509
3E-5;0.972396776080132;3E-5;-1.36565052717924;3E-5;-0.0219241101294756
3.2E-5;0.947603404521942;3.2E-5;-1.3209727704525;3.2E-5;-0.0134726732969284
3.4E-5;0.912892684340477;3.4E-5;-1.28622340410948;3.4E-5;0.00641306042671204
3.6E-5;0.898016661405563;3.6E-5;-1.23161725699902;3.6E-5;0.0143673539161682
3.8E-5;0.863305941224098;3.8E-5;-1.19190369546413;3.8E-5;0.0243102207779884
4E-5;0.833553895354271;4E-5;-1.15219013392925;4E-5;0.0262987941503525
4.2E-5;0.808760523796082;4.2E-5;-1.10751237720251;4.2E-5;0.0382302343845367
4.4E-5;0.78892582654953;4.4E-5;-1.05290623009205;4.4E-5;0.048173101246357
4.6E-5;0.744297757744789;4.6E-5;-1.02808525413275;4.6E-5;0.0586131114512682
