Temps;EA0;Temps;EA1;Temps;I
0;0.258347675204277;0;-0.779875494539738;0;-0.0581660668055216
1E-6;0.253389000892639;1E-6;-0.789803884923458;1E-6;-0.0465660554667314
2E-6;0.273223698139191;2E-6;-0.764982908964157;2E-6;-0.0498803444206715
3E-6;0.273223698139191;3E-6;-0.769947104156017;3E-6;-0.0548517778515816
4E-6;0.283141046762466;4E-6;-0.760018713772297;4E-6;-0.0548517778515816
5E-6;0.283141046762466;5E-6;-0.760018713772297;5E-6;-0.0714232226212819
6E-6;0.288099721074104;6E-6;-0.750090323388577;6E-6;-0.0647946447134018
7E-6;0.302975744009018;7E-6;-0.740161933004856;7E-6;-0.0614803557594617
8E-6;0.302975744009018;8E-6;-0.735197737812996;8E-6;-0.0664517891903718
9E-6;0.317851766943932;9E-6;-0.720305152237415;9E-6;-0.0515374888976415
1E-5;0.312893092632294;1E-5;-0.725269347429276;1E-5;-0.0482231999437014
1.1E-5;0.312893092632294;1.1E-5;-0.720305152237415;1.1E-5;-0.0399374775588512
1.2E-5;0.317851766943932;1.2E-5;-0.715340957045555;1.2E-5;-0.0366231886049112
1.3E-5;0.317851766943932;1.3E-5;-0.705412566661835;1.3E-5;-0.0266803217430909
1.4E-5;0.327769115567207;1.4E-5;-0.700448371469975;1.4E-5;-0.0333088996509711
1.5E-5;0.327769115567207;1.5E-5;-0.685555785894394;1.5E-5;-0.0366231886049112
1.6E-5;0.332727789878845;1.6E-5;-0.680591590702534;1.6E-5;-0.0316517551740011
1.7E-5;0.332727789878845;1.7E-5;-0.675627395510674;1.7E-5;-0.0415946220358213
1.8E-5;0.337686464190483;1.8E-5;-0.665699005126953;1.8E-5;-0.0531946333746115
1.9E-5;0.347603812813759;1.9E-5;-0.645842224359512;1.9E-5;-0.0515374888976415
2E-5;0.352562487125397;2E-5;-0.635913833975792;2E-5;-0.0531946333746115
2.1E-5;0.352562487125397;2.1E-5;-0.630949638783932;2.1E-5;-0.0382803330818812
2.2E-5;0.357521161437035;2.2E-5;-0.616057053208351;2.2E-5;-0.0415946220358213
2.3E-5;0.352562487125397;2.3E-5;-0.611092858016491;2.3E-5;-0.0233660327891509
2.4E-5;0.352562487125397;2.4E-5;-0.601164467632771;2.4E-5;-0.0150803104043007
2.5E-5;0.357521161437035;2.5E-5;-0.59123607724905;2.5E-5;-0.0233660327891509
2.6E-5;0.352562487125397;2.6E-5;-0.58627188205719;2.6E-5;-0.00679458801945051
