Temps;EA0;Temps;I
0;-1.79950216412544;0;0.00611272748898376
5E-7;-1.7945434898138;5E-7;0.00611272748898376
1E-6;-1.78958481550217;1E-6;0.00613529201258313
1.5E-6;-1.78958481550217;1.5E-6;0.00606759844178503
2E-6;-1.78958481550217;2E-6;0.0060901629653844
2.5E-6;-1.77966746687889;2.5E-6;0.00611272748898376
3E-6;-1.77966746687889;3E-6;0.0060901629653844
3.5E-6;-1.77966746687889;3.5E-6;0.00606759844178503
4E-6;-1.77470879256725;4E-6;0.00606759844178503
4.5E-6;-1.78462614119053;4.5E-6;0.00604503391818567
5E-6;-1.76975011825562;5E-6;0.0060901629653844
5.5E-6;-1.77966746687889;5.5E-6;0.00604503391818567
6E-6;-1.76479144394398;6E-6;0.00606759844178503
6.5E-6;-1.76975011825562;6.5E-6;0.00604503391818567
7E-6;-1.75983276963234;7E-6;0.0060224693945863
7.5E-6;-1.76479144394398;7.5E-6;0.00604503391818567
8E-6;-1.75983276963234;8E-6;0.00604503391818567
8.5E-6;-1.7548740953207;8.5E-6;0.00604503391818567
9E-6;-1.7548740953207;9E-6;0.0060224693945863
9.5E-6;-1.7548740953207;9.5E-6;0.0060224693945863
1E-5;-1.74991542100906;1E-5;0.00599990487098694
1.05E-5;-1.74495674669743;1.05E-5;0.00604503391818567
1.1E-5;-1.74991542100906;1.1E-5;0.00597734034738757
1.15E-5;-1.73999807238579;1.15E-5;0.00599990487098694
1.2E-5;-1.73999807238579;1.2E-5;0.00599990487098694
1.25E-5;-1.73008072376251;1.25E-5;0.00599990487098694
1.3E-5;-1.73008072376251;1.3E-5;0.00599990487098694
1.35E-5;-1.73503939807415;1.35E-5;0.00599990487098694
1.4E-5;-1.73503939807415;1.4E-5;0.00597734034738757
1.45E-5;-1.73008072376251;1.45E-5;0.00595477582378821
1.5E-5;-1.72512204945087;1.5E-5;0.00595477582378821
1.55E-5;-1.72512204945087;1.55E-5;0.00593221130018884
1.6E-5;-1.72016337513924;1.6E-5;0.00597734034738757
1.65E-5;-1.72016337513924;1.65E-5;0.00595477582378821
1.7E-5;-1.71024602651596;1.7E-5;0.00597734034738757
1.75E-5;-1.7152047008276;1.75E-5;0.00593221130018884
1.8E-5;-1.71024602651596;1.8E-5;0.00593221130018884
1.85E-5;-1.7152047008276;1.85E-5;0.00593221130018884
1.9E-5;-1.70032867789268;1.9E-5;0.00593221130018884
1.95E-5;-1.70528735220432;1.95E-5;0.00590964677658948
2E-5;-1.70032867789268;2E-5;0.00590964677658948
2.05E-5;-1.70528735220432;2.05E-5;0.00588708225299012
2.1E-5;-1.69537000358105;2.1E-5;0.00588708225299012
2.15E-5;-1.69537000358105;2.15E-5;0.00590964677658948
2.2E-5;-1.68545265495777;2.2E-5;0.00590964677658948
2.25E-5;-1.69041132926941;2.25E-5;0.00590964677658948
2.3E-5;-1.68545265495777;2.3E-5;0.00588708225299012
2.35E-5;-1.68545265495777;2.35E-5;0.00588708225299012
