Temps;EA0;Temps;EA1;Temps;I
0;-0.0788421779870987;0;-1.49471960216761;0;0.102576947460572
1E-6;-0.0937182009220123;1E-6;-1.52450477331877;1E-6;0.0942912250757217
2E-6;-0.113552898168564;2E-6;-1.55428994446993;2E-6;0.0909769361217817
3E-6;-0.118511572480202;3E-6;-1.57911092042923;3E-6;0.0860055026908716
4E-6;-0.133387595415115;4E-6;-1.60889609158039;4E-6;0.0793769247829914
5E-6;-0.153222292661667;5E-6;-1.64364545792341;5E-6;0.0810340692599614
6E-6;-0.168098315596581;6E-6;-1.68335901945829;6E-6;0.0777197803060214
7E-6;-0.187933012843132;7E-6;-1.71810838580132;7E-6;0.0992626585066319
8E-6;-0.212726384401321;8E-6;-1.76775033771992;8E-6;0.0976055140296618
9E-6;-0.227602407336235;9E-6;-1.8074638992548;9E-6;0.102576947460572
1E-5;-0.247437104582787;1E-5;-1.84221326559782;1E-5;0.105891236414512
1.1E-5;-0.267271801829338;1.1E-5;-1.89185521751642;1.1E-5;0.104234091937542
1.2E-5;-0.277189150452614;1.2E-5;-1.92660458385944;1.2E-5;0.0926340805987517
1.3E-5;-0.297023847699165;1.3E-5;-1.97624653577805;1.3E-5;0.0876626471678416
1.4E-5;-0.311899870634079;1.4E-5;-2.01596009731293;1.4E-5;0.0876626471678416
1.5E-5;-0.326775893568993;1.5E-5;-2.05070946365595;1.5E-5;0.0710912023981412
1.6E-5;-0.341651916503906;1.6E-5;-2.09042302519083;1.6E-5;0.0561769021054109
1.7E-5;-0.351569265127182;1.7E-5;-2.13013658672571;1.7E-5;0.0677769134442012
1.8E-5;-0.371403962373734;1.8E-5;-2.16985014826059;1.8E-5;0.0744054913520813
1.9E-5;-0.386279985308647;1.9E-5;-2.21452790498734;1.9E-5;0.0710912023981412
2E-5;-0.406114682555199;2E-5;-2.26416985690594;2E-5;0.0793769247829914
2.1E-5;-0.430908054113388;2.1E-5;-2.30884761363268;2.1E-5;0.0860055026908716
2.2E-5;-0.445784077048302;2.2E-5;-2.35352537035942;2.2E-5;0.0860055026908716
2.3E-5;-0.455701425671577;2.3E-5;-2.3932389318943;2.3E-5;0.0843483582139015
2.4E-5;-0.470577448606491;2.4E-5;-2.43295249342918;2.4E-5;0.0826912137369315
2.5E-5;-0.490412145853043;2.5E-5;-2.47763025015593;2.5E-5;0.0777197803060214
2.6E-5;-0.505288168787956;2.6E-5;-2.51237961649895;2.6E-5;0.061148335536321
2.7E-5;-0.525122866034508;2.7E-5;-2.56698576360941;2.7E-5;0.0462340352435907
2.8E-5;-0.539998888969421;2.8E-5;-2.61166352033615;2.8E-5;0.0644626244902611
2.9E-5;-0.544957563281059;2.9E-5;-2.63648449629545;2.9E-5;0.0495483241975307
3E-5;-0.559833586215973;3E-5;-2.68612644821405;3E-5;0.0412626018126806
3.1E-5;-0.574709609150887;3.1E-5;-2.72087581455708;3.1E-5;0.0462340352435907
3.2E-5;-0.5895856320858;3.2E-5;-2.77051776647568;3.2E-5;0.0495483241975307
3.3E-5;-0.61437900364399;3.3E-5;-2.82015971839428;3.3E-5;0.0478911797205607
3.4E-5;-0.629255026578903;3.4E-5;-2.86483747512102;3.4E-5;0.0545197576284409
3.5E-5;-0.654048398137093;3.5E-5;-2.91944362223148;3.5E-5;0.0495483241975307
3.6E-5;-0.65900707244873;3.6E-5;-2.9541929885745;3.6E-5;0.0462340352435907
3.7E-5;-0.673883095383644;3.7E-5;-2.99887074530125;3.7E-5;0.0495483241975307
3.8E-5;-0.68380044400692;3.8E-5;-3.03858430683613;3.8E-5;0.0412626018126806
3.9E-5;-0.698676466941833;3.9E-5;-3.08326206356287;3.9E-5;0.0296625904738903
4E-5;-0.713552489876747;4E-5;-3.12297562509775;4E-5;0.0230340125660102
4.1E-5;-0.723469838500023;4.1E-5;-3.16765338182449;4.1E-5;0.01474829018116
4.2E-5;-0.733387187123299;4.2E-5;-3.20736694335938;4.2E-5;0.00811971227327983
4.3E-5;-0.738345861434937;4.3E-5;-3.2421163097024;4.3E-5;0.0114340012272199
4.4E-5;-0.75322188436985;4.4E-5;-3.28679406642914;4.4E-5;0.00646256779630979
4.5E-5;-0.763139232993126;4.5E-5;-3.32650762796402;4.5E-5;0.01474829018116
4.6E-5;-0.787932604551315;4.6E-5;-3.38111377507448;4.6E-5;0.00480542331933975
4.7E-5;-0.797849953174591;4.7E-5;-3.42579153180122;4.7E-5;0.01640543465813
4.8E-5;-0.807767301797867;4.8E-5;-3.46550509333611;4.8E-5;0.01640543465813
4.9E-5;-0.817684650421143;4.9E-5;-3.51018285006285;4.9E-5;0.00811971227327983
5E-5;-0.842478021979332;5E-5;-3.56975319236517;5E-5;0.00646256779630979
5.1E-5;-0.842478021979332;5.1E-5;-3.58960997313261;5.1E-5;-0.0117660214503606
5.2E-5;-0.852395370602608;5.2E-5;-3.63925192505121;5.2E-5;-0.0183945993582408
5.3E-5;-0.862312719225883;5.3E-5;-3.67896548658609;5.3E-5;-0.0167374548812707
5.4E-5;-0.867271393537521;5.4E-5;-3.71371485292912;5.4E-5;-0.029994610697031
5.5E-5;-0.877188742160797;5.5E-5;-3.75839260965586;5.5E-5;-0.0333088996509711
5.6E-5;-0.877188742160797;5.6E-5;-3.79314197599888;5.6E-5;-0.0399374775588512
5.7E-5;-0.887106090784073;5.7E-5;-3.8278913423419;5.7E-5;-0.0366231886049112
5.8E-5;-0.897023439407349;5.8E-5;-3.86760490387678;5.8E-5;-0.0333088996509711
5.9E-5;-0.911899462342262;5.9E-5;-3.91724685579538;5.9E-5;-0.0349660441279411
6E-5;-0.921816810965538;6E-5;-3.96192461252213;6E-5;-0.0349660441279411
6.1E-5;-0.926775485277176;6.1E-5;-4.00163817405701;6.1E-5;-0.029994610697031
6.2E-5;-0.931734159588814;6.2E-5;-4.04135173559189;6.2E-5;-0.0316517551740011
6.3E-5;-0.94165150821209;6.3E-5;-4.08106529712677;6.3E-5;-0.0399374775588512
6.4E-5;-0.946610182523727;6.4E-5;-4.12077885866165;6.4E-5;-0.0498803444206715
6.5E-5;-0.956527531147003;6.5E-5;-4.16049242019653;6.5E-5;-0.0548517778515816
6.6E-5;-0.961486205458641;6.6E-5;-4.19524178653955;6.6E-5;-0.0714232226212819
6.7E-5;-0.966444879770279;6.7E-5;-4.22999115288258;6.7E-5;-0.0797089450061321
6.8E-5;-0.961486205458641;6.8E-5;-4.25977632403374;6.8E-5;-0.0879946673909823
6.9E-5;-0.966444879770279;6.9E-5;-4.29452569037676;6.9E-5;-0.0879946673909823
7E-5;-0.961486205458641;7E-5;-4.32431086152792;7E-5;-0.0896518118679523
7.1E-5;-0.971403554081917;7.1E-5;-4.3640244230628;7.1E-5;-0.0846803784370422
7.2E-5;-0.98627957701683;7.2E-5;-4.4136663749814;7.2E-5;-0.0913089563449224
7.3E-5;-0.991238251328468;7.3E-5;-4.44841574132442;7.3E-5;-0.0780518005291621
7.4E-5;-0.991238251328468;7.4E-5;-4.48316510766745;7.4E-5;-0.0846803784370422
7.5E-5;-0.991238251328468;7.5E-5;-4.51295027881861;7.5E-5;-0.0846803784370422
7.6E-5;-0.996196925640106;7.6E-5;-4.54769964516163;7.6E-5;-0.0896518118679523
7.7E-5;-0.996196925640106;7.7E-5;-4.58244901150465;7.7E-5;-0.0979375342528025
7.8E-5;-0.996196925640106;7.8E-5;-4.61223418265581;7.8E-5;-0.112851834545533
7.9E-5;-1.00115559995174;7.9E-5;-4.64698354899883;7.9E-5;-0.127766134838263
8E-5;-1.00115559995174;8E-5;-4.68173291534185;8E-5;-0.134394712746143
8.1E-5;-0.996196925640106;8.1E-5;-4.70158969610929;8.1E-5;-0.137709001700083
8.2E-5;-0.991238251328468;8.2E-5;-4.7264106720686;8.2E-5;-0.145994724084934
8.3E-5;-0.991238251328468;8.3E-5;-4.76116003841162;8.3E-5;-0.139366146177053
8.4E-5;-0.991238251328468;8.4E-5;-4.79094520956278;8.4E-5;-0.134394712746143
8.5E-5;-1.00115559995174;8.5E-5;-4.83065877109766;8.5E-5;-0.136051857223113
8.6E-5;-0.996196925640106;8.6E-5;-4.86044394224882;8.6E-5;-0.136051857223113
8.7E-5;-0.991238251328468;8.7E-5;-4.88526491820812;8.7E-5;-0.132737568269173
8.8E-5;-0.991238251328468;8.8E-5;-4.91008589416742;8.8E-5;-0.139366146177053
8.9E-5;-0.981320902705193;8.9E-5;-4.92994267493486;8.9E-5;-0.147651868561904
9E-5;-0.98627957701683;9E-5;-4.96469204127789;9E-5;-0.180794758101304
9.1E-5;-0.981320902705193;9.1E-5;-4.98951301723719;9.1E-5;-0.172509035716454
9.2E-5;-0.976362228393555;9.2E-5;-5.00936979800463;9.2E-5;-0.175823324670394
9.3E-5;-0.971403554081917;9.3E-5;-5.03419077396393;9.3E-5;-0.190737624963125
9.4E-5;-0.961486205458641;9.4E-5;-5.04908335953951;9.4E-5;-0.197366202871005
9.5E-5;-0.951568856835365;9.5E-5;-5.06894014030695;9.5E-5;-0.187423336009185
9.6E-5;-0.951568856835365;9.6E-5;-5.09872531145811;9.6E-5;-0.194051913917065
9.7E-5;-0.94165150821209;9.7E-5;-5.11361789703369;9.7E-5;-0.182451902578274
9.8E-5;-0.946610182523727;9.8E-5;-5.13843887299299;9.8E-5;-0.185766191532214
9.9E-5;-0.94165150821209;9.9E-5;-5.16325984895229;9.9E-5;-0.184109047055244
0.0001;-0.931734159588814;0.0001;-5.18311662971973;0.0001;-0.189080480486155
0.000101;-0.921816810965538;0.000101;-5.19304502010345;0.000101;-0.195709058394035
0.000102;-0.911899462342262;0.000102;-5.21786599606276;0.000102;-0.203994780778885
0.000103;-0.911899462342262;0.000103;-5.24268697202206;0.000103;-0.205651925255855
0.000104;-0.901982113718987;0.000104;-5.24765116721392;0.000104;-0.223880514502525
0.000105;-0.892064765095711;0.000105;-5.26750794798136;0.000105;-0.232166236887376
0.000106;-0.882147416472435;0.000106;-5.27743633836508;0.000106;-0.235480525841316
0.000107;-0.867271393537521;0.000107;-5.2873647287488;0.000107;-0.238794814795256
0.000108;-0.857354044914246;0.000108;-5.29729311913252;0.000108;-0.243766248226166
0.000109;-0.84743669629097;0.000109;-5.3121857047081;0.000109;-0.233823381364346
0.00011;-0.837519347667694;0.00011;-5.32211409509182;0.00011;-0.238794814795256
0.000111;-0.842478021979332;0.000111;-5.34693507105112;0.000111;-0.240451959272226
0.000112;-0.827601999044418;0.000112;-5.35686346143484;0.000112;-0.237137670318286
0.000113;-0.812725976109505;0.000113;-5.35686346143484;0.000113;-0.238794814795256
0.000114;-0.802808627486229;0.000114;-5.36679185181856;0.000114;-0.238794814795256
0.000115;-0.787932604551315;0.000115;-5.37672024220228;0.000115;-0.247080537180106
0.000116;-0.77801525592804;0.000116;-5.38168443739414;0.000116;-0.252051970611016
0.000117;-0.768097907304764;0.000117;-5.39161282777786;0.000117;-0.258680548518896
0.000118;-0.748263210058212;0.000118;-5.39657702296972;0.000118;-0.275251993288596
0.000119;-0.743304535746574;0.000119;-5.40650541335344;0.000119;-0.275251993288596
0.00012;-0.718511164188385;0.00012;-5.40154121816158;0.00012;-0.285194860150417
0.000121;-0.703635141253471;0.000121;-5.39657702296972;0.000121;-0.280223426719507
0.000122;-0.688759118318558;0.000122;-5.39657702296972;0.000122;-0.280223426719507
0.000123;-0.673883095383644;0.000123;-5.39657702296972;0.000123;-0.278566282242537
0.000124;-0.668924421072006;0.000124;-5.40650541335344;0.000124;-0.276909137765567
0.000125;-0.649089723825455;0.000125;-5.40650541335344;0.000125;-0.276909137765567
0.000126;-0.639172375202179;0.000126;-5.4114696085453;0.000126;-0.283537715673447
0.000127;-0.619337677955627;0.000127;-5.40650541335344;0.000127;-0.286852004627387
0.000128;-0.604461655020714;0.000128;-5.40650541335344;0.000128;-0.280223426719507
0.000129;-0.5895856320858;0.000129;-5.40154121816158;0.000129;-0.301766304920117
0.00013;-0.574709609150887;0.00013;-5.39657702296972;0.00013;-0.300109160443147
0.000131;-0.559833586215973;0.000131;-5.39161282777786;0.000131;-0.303423449397087
0.000132;-0.539998888969421;0.000132;-5.38168443739414;0.000132;-0.315023460735877
0.000133;-0.52016419172287;0.000133;-5.37175604701042;0.000133;-0.316680605212847
0.000134;-0.500329494476318;0.000134;-5.3618276566267;0.000134;-0.315023460735877
